	Unnamed: 0	author	comment	origin	origin_status	english	category
9	9	 marchell 	This song never gets old. No matter how much I listen, I never get bored	Because Of You	1	TRUE	1
310	310	_miglentsis	It's crazy how many people listen to this every day	Another Love	1	TRUE	0
250	251	(Anonymous) - Katie	Good performance kelly! Keep up the good work	Because Of You	1	TRUE	0
158	158	#Humble Nation	Hi to every lovely people reading this hope you have a great day.This song reminds me of my big brother Jake he always sang this this song and it played at his funeral when he died in 2016 due to cancer it’s the toughest thing I’ve ever been through.Sorry for anyone who as a loss like this all got say is keep going love the l	All of Me	1	TRUE	1
224	225	❄️Albatrossᵖᵒʷᵉʳツ	Just imagine how many people come here every day, this song is really legendary!! I can't get this song out of my head, love this song 	Thinking Out Loud	1	TRUE	0
213	213	⭐ AMINUR ⭐	Vocals from heaven	Another Love	1	TRUE	1
222	225	🌸shai_sakura🌸	I've been hearing this music since when I was 7 at 2015,i can't believe it I'm 15 nowI loved hearing this music	All of Me	1	TRUE	0
147	147	👑{Natsuki _san}✨	It is really wonderful and deserves the title of Golden Throat. It really became my favorite song, and thank you for this song 	Another Love	1	TRUE	1
45	45	1D Forever	This song is like Wine, the older it get the better it becomes	Thinking Out Loud	1	TRUE	1
77	77	2DirtyDogs	I had always thought she had written this about an abusive boyfriend. When I found out that she wrote this about her parent’s divorce, it changed the whole meaning of the song and made it even sadder and more powerful.  Almost all of us can relate to a bad breakup. But, every one of us can relate to bad parenting.	Because Of You	1	TRUE	0
173	174	2sxope's other son	Man time goes fast I can't believe this song came out 9 years ago . 2023 and am still her for this song	All of Me	1	TRUE	0
198	201	4real...	Its 2023 and im still single so im always here to give myself hopes	All of Me	1	TRUE	1
176	176	7hardy8	How did I not stumble across this song 10 years ago when I was screaming my heart out?	Another Love	1	TRUE	0
113	113	A. 76	He has the voice of angels	Another Love	1	TRUE	1
139	139	A. Carolina Cano Benavente	All of me is a beautifull song. I want to listen it some times a soon very times is voor fillings. Thank you	All of Me	1	TRUE	0
109	109	A.J. Clouds	"I couldn't help myself crying 
Literally I can't stop "	Because Of You	1	TRUE	1
215	216	ABABACAR THIAM DMB	This song will remain beautiful for ever	Thinking Out Loud	1	TRUE	0
175	176	Abbie Horkan	We all need a love like Ed’s love 	Thinking Out Loud	1	TRUE	1
17	17	Abigail Garcia	This hits different when your a parent healing your inner child. 	Because Of You	1	TRUE	1
302	305	aceqapd	She dances enough for two, and magically makes it look like Ed can dance - a perfect joining of the excellent talents of two amazing artists. Brilliant!	Thinking Out Loud	1	TRUE	0
70	70	Adam	"can we talk about the music video for a sec?
how he sits there and looks straight into the camera, while the woman literally destroys the room. I interpret it that way, that Tom is so distracted and dissociated because of his past experience and pain, that he cannot worship his new love. he wants to, he also sings, that he'll protect her and if anyone says somethig bad he'll use his voice and ""be so fucking rude"". but yet he cannot give her what he gave his past love. so he lets her destroy everything. he maybe wants to stop it, but can't.

the woman on the other hand, wants to try to reach him. she wants be there for him and listen. more specifically, she wants to love and be loved. eventually she loses her patience and screams at him. she starts to destroy things out of rage and hurt. because she loves him, but she feels like he doesn't love her. like he doesn't listen or care about her. they're both hurt. no matter what she says or does, Tom just doesn't answer her. 
He looks so numb, she gives up and leaves."	Another Love	1	TRUE	0
