;human_prediction;comments;prediction;probability_class_one
0;0;This is a FAKE USER BE ALERT !;0;0.2330378304342618
1;0;tha'st true;0;0.2787657373828967
2;0;Is no one not gonna talk about the girl, her dance is mesmerizing ❤️;0;0.4457382378312517
3;1;I listeng this song every single day, i just love it. Perfect 3333!!!;0;0.2498798637439339
4;0;now I can't read my comment without british accent ;0;0.3132605972672326
5;0;came out the same year I met my best friend😊;0;0.4821358965596881
6;0;I love this song🙆🏼‍♂️;0;0.2440911606741233
7;0;Watching in 2023 anyone?;0;0.2139028517410434
8;1;This song always makes me cry 😢😢😭;1;0.938342470604264
9;0;Offbrand Piano Man;0;0.2521772880117112
10;1;OMG! WHEN did they start writing LOVE SONGS again? THIS is BEAUTIFUL!;0;0.2322696269251834
11;0;Dance ay love and you😍😙😛😲;0;0.2632046986471673
12;0;2023 and i'm here again;0;0.2291363636019076
13;0;I brought MYSELF HERE!!!;0;0.2390257696000153
14;1;This song reminds me and my friend tom when we went out ❤❤;1;0.7999539341618035
15;0;2018 everyday :);0;0.2699910278733266
16;1;The best song ever since I missed my dad;1;0.6579107330246825
17;0;hello Edward Christopher Sheeran;0;0.2695660379801722
18;0;where can i get the piano sheet music 4 this?;0;0.2343652950263914
19;0;666 Million views.;0;0.2589802180318087
20;0;He crys after sex;1;0.8367954138199931
21;0;Who will continue watching this video in 2018?✋😢;0;0.247413382201537
22;1;Uncle I love you for life okay.;1;0.5758176725973855
23;0;Remembering my ex😳😳😳;0;0.2701385413812815
24;0;Perfect Song😊😊;0;0.2493574268387939
25;0;This is our song this was our first dance;0;0.2670585035672848
26;1;This song and “Clover Cage - Lost Then Found” are the only two things keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better...We are in this together...I love you...;1;0.9618764673964036
27;1;Love the song. This is me an my fiancé's first dance on our wedding... June 8th of 2014.;1;0.9390566322778892
28;1;Extremely love this song ♥;0;0.2305495194519601
29;0;Love this!;0;0.2434444617106681
30;0;Flowers sounds like this song mylie Cyrus stole this;0;0.2617988593204205
31;0;Really nice song and lyrics;0;0.2398081975499026
32;0;i love is music;0;0.2588748587148738
33;0;Who watching this video on june 2017 with me?;0;0.2714619616544309
34;0;can this coment get 23 likes?;0;0.2535390536258952
35;0;He said my life and marriage for 31 years thank you bruno;1;0.8128522666440053
36;0;So perfect ♡;0;0.2471786096527172
37;0;is that hes girl?;0;0.3003288076537955
38;0;Glad that at least the flowers survived;0;0.277292942497422
39;0;nice song ;0;0.2542706527502594
40;0;Chloe   BUHTSHE     Yos.;0;0.2475965010714061
41;0;Is she the best dancer ever?  (between her and Witney Carson, imho);0;0.2591895840171136
42;1;ok i am crying this whays my moms and dads song my mom said this is there song so she is dead but i all whys love this song i know the meaning behind this song and im 10 not like you people pay atenchon to me but is is just what is on my mined so if you dont like it then i am very sorr becous i can say what i whnt becous it is my mouth.;1;0.943289348474498
43;0;"I am thinking out loud about the perfect shape of you over the castle on t he hill ;)";0;0.2514805961744031
44;0;Love it man ;0;0.2558807699888327
45;0;134k dislikes are people who got triggered by the song;0;0.2903800829540567
46;0;is there someone else hear a voice of a girl at :baby my heart?;1;0.8742627069325399
47;0;This is sad like if you agree;0;0.3691298865779543
48;0;does this song calm anyone else down?;0;0.2484303161297758
49;0;That dance 💃 mood was Amazing;0;0.2608889495225148
50;0;Like srsly, why so good?;0;0.2499675150195252
51;1;I don't care how sad people think I am, he is perfection itself :');0;0.3171524542038427
52;0;that is so sweet my bae said the same thing to me $$$$;0;0.3972397673855155
53;0;hey Bruno,im the girl you met me on Facebook messenger this is my backup;0;0.4360229876473563
54;0;He's grown back the fro.;0;0.2724618841030384
55;1;mine and my exs song omg i miss him so much.z;1;0.7913304044278283
56;0;Im singing this song for the school talent show. I havel stage fright, so this will be bad.;0;0.4744721873661816
57;0;Merry xmas guys !;0;0.256556777562359
58;0;I can't wait to dance this song when my man comes back from deployment. )':;1;0.698360247171939
59;0;I can't take my eyes off her! And Ed Sheeran is ❤️ as always;1;0.5329107296876454
60;1;THIS IS SO BEAUTIFULLL;0;0.2556901352073827
61;0;In 2013 i was 7 now  16;0;0.2449764040531279
62;0;what whould i do without your smart mouth?;0;0.2937329679181644
63;0;I like this song. ❤️😍;0;0.2233489583823927
64;0;OK   BETTY ROBERT  AND ABBY AND CORY MOMMY LOVE;0;0.2597187316350394
65;1;this song makes me very every time;1;0.643366856022295
66;1;I just cried really hard :,) ilysm ed3;0;0.2677927005774855
67;0;This is real music..! I just hope they won't break up..I really love this song..John you are LEGEND.!! :);0;0.4750693283841084
68;0;i love this song <3;0;0.2456540597370841
69;1;The girl who left him and heard this song after would be an idiot not to go back to him :P. (that is if there WAS a girl);1;0.7364625153314287
70;0;The Vampire Diaries ❤️❤️❤️❤️❤️💕😭💓💘💕;0;0.2556901352073827
71;1;This music is so romantic ♥;0;0.2520911114194068
72;1;This was my brother's wedding song;1;0.9215629920758182
73;0;Another song for my idol that would reach 100 000 000.C'mon guys.This song deserves more and more views.;1;0.6446451086205899
74;0;Incredible;0;0.2435746177889455
75;1;This ginger has soul ♡;0;0.2692895061193572
76;0;It's February 1 and I still love this;0;0.2273455571013793
77;1;Simply put, beautiful lyrics, haven't watched a video that has ever touched my broken, heavy soul in such a lovely way.;1;0.8588944876597777
78;0;This is so good;0;0.2550196874936095
79;0;You are one of the best!!;0;0.2304307670506504
80;1;You were my man and I wanted to be your forever until the wheels fell off. You didn't appreciate me. You looked over my heart. You can clean up the mess. Just admit you were wrong. I am valuable.;1;0.9558597822394692
81;0;I love your music Ed Sheeran👌👌👌;0;0.2498350878825185
82;0;badass song love it!!& video;0;0.2594332475951116
83;0;Me and my gf love it;0;0.2587961090676196
84;1;I'm in loove with this song!;0;0.232644510925101
85;0;She ha no humanity murderer liar waste your whole life then through the old one away for new ones no conscience;1;0.5194404342994078
86;0;Ed Sheeran = Happiness;0;0.2527285205716496
87;0;Singing this right now;0;0.2449409064117251
88;0;can't believe is just now i'm hearing this song;0;0.2479524469429709
89;1;I love this song but I just lost my husband of June of this year I miss him very day and I'm blessed I'm pregnant with his baby.;1;0.9613394196762785
90;0;This song need Min 3B Views;0;0.24632914963273
91;0;It's an ok song but I think it could be better.;0;0.2847061706427942
92;0;Whos here from blanks?;0;0.2513459929391605
93;0;brilliant song and video. looks like Johnny Larmour.;0;0.2509636240329451
94;0;Bruno Mars is an amazing singer! But people call him The New King Of Pop, but i say not really ONLY because maybe Bruno's Idol is Michael Jackson :) Who knows he inspired millions yah know :);1;0.5362765238887192
95;0;Who is still here?;0;0.2659749469926412
96;0;future wedding song;0;0.3248998947120272
97;0;Amazing, so touching!!!;0;0.2355882462725105
98;0;10 years😢;0;0.2471404630608769
99;0;I love your song ;0;0.2565856722186077
100;0;2020 still watching and listening;0;0.2426109220825103
101;0;Come back when JT can have a performance like Bruno's runaway baby that he did on the Grammys 2011 or like his Amy Winehouse tribute singing valerie. JT's performing skills are basic and like any other POP/R&B act whereas bruno is 100% a showman and goes back to a time when singing live perfectly and dancing at the same time mattered. And JB has zero talent and he will never have. Bruno is doing the Super Bowl next year & people will be pleasantly surprised when they see him.;1;0.6963036166760727
102;0;This Ish My Best Best Songz;0;0.2598875025132559
103;0;Where's the part he allegedly stole from marvin gaye;0;0.2757897609520418
104;0;The feels 😧;0;0.2487135889976695
105;0;love this song;0;0.2536815257785211
141;0;it is my favourite. I cry every time i listen this;1;0.8248394016862927
142;0;I love this and his voice;0;0.2476628250532671
143;0;This is one of the best ways to start 2022…✨;0;0.2296244866228746
144;0;This and only this is the superior song EVER created;0;0.2180612497944395
145;1;A song with normal lyrics but what makes it special the pain in his voice ..he sang it by his heart not his tongue;1;0.8219834776402614
146;0;This song is almost 6 years old it’s been I while;0;0.284757870915845
147;1;"I like this song ""I give you all of me""""You give me all of you""";1;0.5675169989070459
148;0;Nice dance... still an average dance performance according to Bollywood standards.;0;0.2566832465081026
149;1;is so perfect omg i'm criying;0;0.2560839315081391
150;0;what a song....;0;0.2432200220956629
151;0;I love this song so much ;0;0.2497864080263556
152;0;They are so cute together <3;0;0.2513659016438934
153;0;I remember this song when I was little man, felt like ages;1;0.7184289289597842
154;0;Came from the voice :D;0;0.2727459553339098
155;0;Thought he smash up her face after all. :D;0;0.3610508833251685
156;0;Te amo Ed Sheeran 💕;0;0.2628166098887215
157;0;Bro I almost cried 🥲;0;0.320010750167328
158;0;Yep love it memories 💯😘;0;0.2574497250581011
159;0;PORQUE TE TOCA TANTO! ERES MIO😭😭😭😭😭😭 I LOVE YOU #COMETOCHILEPLEASE;0;0.2494264596975953
160;0;I found it very nice'm learning to dance at my wedding and we will make a video so because I found it very romantic and guard all life <3;1;0.9541717316770592
161;0;Wow has it really been 7 years;0;0.2523271811776272
162;0;Wow 2 bilion view;0;0.2705311982168584
163;0;i was never the man :(;0;0.2836991759832595
164;0;OMG this song doesn't sound 8 years old;0;0.2249948420965398
165;1;My girl broke up with me last month and this song reminded me of all the good times we had and i started to cry... Love her forever <3 Awesome song!;1;0.959236518822126
166;0;absolutelly amazing song and video wow  love this;0;0.2345491660327853
167;0;"once more Bruno proved how great he is ;)";0;0.2249136177613766
168;0;all of me;0;0.2942969087290525
169;1;I cry every time I watch this video and hear the beautiful song!;1;0.6099480512108558
170;1;I hope one day someone will dedicate this song to me. Or stop. today is my birthday. I dedicate this song to myself 🍷;1;0.9426536704409308
171;1;Poetry in motion..So heartfelt.. One can only hope to find what he is singing about in this song...;1;0.70663740689364
172;0;"Someone commented that it sounds like the Elton John's song ""Sorry is the hardest word.""  I disagree with the comparison.  I think this stands on its own as a beautiful song.  ";0;0.3800261210196883
173;0;I love this song! so much emotion it's amazing;0;0.2669863440971351
174;0;Lacie I really apologize for everything;0;0.406023045410444
175;1;Im yet to meet my girlfriend, but this is the song whom awaits to be played even 5 years  when proposing to her haha;1;0.9382957892834658
176;0;This somg is 10yrs old?? 😱;0;0.2492720097891269
177;0;I LOVE THIS SONG!!!!!😘😍😘😘😘😻;0;0.2475719123113493
178;0;Perfect song! So romantic! ❤️;0;0.241738121618771
179;0;Luv this song the best;0;0.2342626459616636
180;0;I found me in here;0;0.2837142623386661
181;0;Wow, Bruno really knows what to do with a piano and some vocal cords;0;0.2514471175758401
182;0;Wow, very good music :D;0;0.2366255971029943
183;0;Who's here in 2023?;0;0.2282665235758661
184;0;one the best song ever;0;0.2517399704024188
185;0;I never get tired of watching edits with this song especially;0;0.2365710469745759
186;0;This song is immaculate!! ;0;0.2323539659211986
187;1;Time flies, but this song never gets old.;0;0.2401088892459973
188;0;The girl is really naked 🙈;0;0.2756254154582592
189;0;Ascend official Panadol;0;0.2507625618434923
190;0;I love the fact that even after 8 years this comment section is still alive;0;0.2451169625184525
191;0;baby i can treat u better🥺🥺;0;0.2875292270028645
192;0;I can't stop thinking about  #hessa  Harry~Tessa;0;0.2505713445315658
193;0;I remember my grandma with this Song...❤❤❤❤😢😭;1;0.8883671442579901
194;0;Wow you r goodo and i love this song =] we all love this song ;0;0.2489573781994788
195;0;189k people give all of nothing..;0;0.2603519318154051
196;0;it's a beautiful song!!!!;0;0.2327285722623652
197;1;So want this song for first dance at my wedding it's exactly how I feel about my partner. Best song I've ever heard;1;0.961281568680892
198;0;I love this song ❤❤❤;0;0.2303579700751295
199;1;Imagine, just imagine, a woman that told the truth. I’d marry her tomorrow 😢;1;0.8652082831286447
200;0;"He sings the words ""darling ill be loving you till were 70"" umm well what happens after 70 you just leave  her ass all alone";1;0.8964734986356772
201;0;i love this song but i don't really like the way they made the music video all dancing.... nothing else. just sharing my thoughts...not trying to hate ;1;0.9319113893190332
202;0;may 2022 and i still listen to this song;0;0.1995469984836702
203;0;R.I.P JASMINE SANCHEZ 2000-2014 2014 APRIL 25 WE ALL LOVE YOU.;0;0.2476695608382513
204;0;Still lo ing this song;0;0.2395368932419173
205;0;l love thi s song thank fot;0;0.2623527231406936
206;0;i hope my bf can sing this for me😍;0;0.3475040110889263
207;0;Great voice, that song is like a poem;0;0.2604557751748148
208;0;is beautiful forever alone;0;0.2937103648100467
209;0;Thank you for making it;0;0.2641075887675302
210;0;I really miss this era in music 😕;0;0.2457615787837903
211;0;SINGLE LIFE UH! ;0;0.2357534609258745
212;0;No affect;0;0.2485859926111294
213;1;I Love That Song, He Sings From The Heart. 💫😊;0;0.2396959106268387
214;0;I LOVE THIS SONG!!!!;0;0.241151554065756
215;1;"I wish Bruno would give classes to my boyfriend on how to treat a girl.. He's hurt me to the point where I'm having nightmares and being bullied by his ex because he backstabbed me.. I've been in an abusive relationship for 2 years. Everyday,  I told him how much I love him and showed how much I care.. He knows I'm the best gf he's had and decides to look for something better.. It's okay to him to hurt me and he says it's not okay to support me if it hurts his ""ex"" who got people to bully me.";1;0.9553949108184424
216;0;Another bland dull song from Our Ed;0;0.2379373812689417
217;0;so in love with this;0;0.2772834105967744
218;0;I love this song. and this voice.....;0;0.2574893574070853
219;1;This song hurts like hell!!! But it's beautiful he spoke for every dude in the World;0;0.3316654334855238
220;0;when l was yor man homosexuaity;0;0.2673193749182379
221;0;Who's watch today 10/08/19 !!;0;0.2345593965068573
222;0;Same bag but it fills just a little bit bigger now;0;0.2760871413989183
223;0;Who knew Prince Harry could dance?!?!;0;0.2399339118609645
224;0;If you love some Bruno mars like my post. I'm the 1st;0;0.3346850011130194
225;0;The books on the tablet;0;0.2657177378054822
226;0;very good,fantastic.;0;0.2667108919497284
227;0;I heard this song and now can't stop playing it. I dedicated it to my Baby;1;0.8011624172641862
228;0;Ion know bout y'all but I listen to this for free therapy;0;0.2547225077016638
229;0;This song just does hit that spot doesn’t it;0;0.2342465868106501
230;0;Love, love, love this song and video!!!!;0;0.2203277126400995
231;0;Watching in 2023 anyone ?;0;0.2139028417186166
232;0;This is the type of song that explains the commitment issues that guys get nowadays so well, beautiful song ♥️;1;0.8586308384192918
233;0;What other man you have some imagination.👀;0;0.2539324513877323
234;0;danm u should be on dancing with the stars :3;0;0.3125934115348114
235;0;Love this song so much <3;0;0.2262198465193315
236;0;I love this song, good job on this one John ;0;0.2294776959361269
237;0;I just love this music and u.My couple was rebuild thanks to this music.;0;0.4105447962971604
238;0;a quick question, did they remove the other video clip of this song? the one he's wearing grey shirt;0;0.3137236359684637
239;0;as an Iranian woman currently living in iran, i thank you for writing this beautiful song!;0;0.4196022730609892
240;1;This was supposed to be my ex's and mine wedding song and I lost her and I am losing hope of ever getting her back. But I can't blame anyone but myself.;1;0.9643658823489588
241;1;Time doesn't affect this song.😭;0;0.2309041178777544
242;0;i love this song so much its the best u guys are so good at dancing and the girl is good at gymnastics;1;0.5965053699379271
243;0;My god this song is so freaking good;0;0.2447687811358397
244;0;Anyone here came after Chanyeol's cover?;0;0.2493729907542219
245;1;damn im loving this song. vocals are amazing as well I cant stop listening to it <3;0;0.2452802493574194
246;0;The most beautiful song ever 😍 I love it!;0;0.2096658372804986
247;0;Bruno just delivered in this one! Well it just me of my eX 😆😆😆😆;0;0.4090467179007864
248;1;For bad mood you can’t do better;0;0.3236782242269088
249;0;Hen is the best singer;0;0.2672853461484207
250;0;Congratulations on the birth of your daughter Lyra Antarctica Seaborn Sheeran. All the best from all your fans from across the world.;1;0.5859580956414098
251;0;I almost forgot to listen today;0;0.2538342561273666
252;0;This is definitely so adorable. You are so sweet !! It's good to finally see you more than 5 seconds in one of your videos ! Nice dance skills btw. :);0;0.3005587632491085
253;1;i actually shred a tear everytime i hear this song its beautiful me and my friend are learning the dance routine its awesome;1;0.8735113537738157
254;0;"Brilliant song.. great moves Ed. ;-)";0;0.2161659737100486
255;0;I want to dance to this song when I get married :3;1;0.8590608846002065
256;0;"i fucking luv this song ;)                        ";0;0.2548363335550248
257;0;I love you Ed Sheeran;0;0.2625592735584832
258;0;Get to 1 billion Ed;0;0.2554484968169924
259;0;good music love ❤️;0;0.2332877733961955
260;0;"why is it called ""one last time"" ? ? ? ? ;---;";0;0.2212225880319459
261;0;Make a decision that won't make both of us regert...;0;0.3177506851638819
262;0;I know comparing is wrong but still, Mj or Ed Sheeran ?;0;0.2322373809290356
263;0;This is just beautiful. I have watched so many expensive corny videos and honestly this is the best so far.... Love Ed ;0;0.2553728615160728
264;1;I AM CRYING, THAT GIRL IS THE MOST BLESSED HUMAN BEING ON THE WORLD HAVING THE CHANCE TO DANCE LIKE THAT WITH ED SHEERAN;0;0.2588517479018651
265;0;the 164K that didn't like this are stupid;0;0.2544171552388998
266;1;he would sit next to me, share an umbrella, share snacks, share traumas, order food together, wave at each other, walk to class together, and now thats all over if i dont tell him. but i cant because it will jeopardize everything;1;0.8830189871795417
267;0;That's exactly my wedding dance....;1;0.9451599293315828
268;0;I Know Y'all Watching In 2021;0;0.243052642642977
269;1;So sorry for your heart for u had mine 💜🔩;0;0.4766961277262651
270;1;its so rare when you find a perfect song and video. i love the wedding part at the end. i almost cried.;1;0.9447919593483844
271;0;BULLSHITTT TO THE 538K DISLIKES;0;0.2573659609954577
272;0;Justin time is gone sheern time is now;0;0.2351237282385808
273;0;Love the interracial love in here;0;0.2617117489164942
274;0;Wat a beautifull song :<;0;0.2396976757804903
275;0;I ❤this song;0;0.2384771168093744
276;0;But what about when I'm 71?;0;0.2383917432728954
277;0;who is watching this forever ♥♥;0;0.2438264005449778
278;0;Love this song xxxx;0;0.2406329562657
279;0;Who elsse took acoustic and singing lessons to sing it to their girlfriend/wife???;1;0.5555919426510045
280;0;Went for a bike ride thats lasted for about 11+ hours, this was the only song that played in my head at home;1;0.6997909346719187
281;0;i was 4 years old when this song came out,and now i discover how cool is this old song, i can believe it became a trend 8 years later!;0;0.2431492327610984
282;0;It’s decided!… I have about 7 months to learn this dance for my wedding day🥹❤️;1;0.927136441213023
283;0;When you know the vocals are by Harry styles;0;0.2832971104482957
284;1;One of the best love song ever;0;0.2335682364518802
285;0;Ed Sheeran 👍👍👍👏👏👂👂;0;0.2521772880117112
286;1;You're just an amazing singer. When ever I fight with my husband I listen to this song and this makes me fall in love with him again and again..🥰;1;0.9668439082908348
287;0;im married to bruno;0;0.3249758050971601
288;0;this song has got all the guys making dinner and buying flowers for their girlfriends tonight haha;1;0.650185170302326
289;0;Came here after the lawsuit...;0;0.2669368936429952
290;0;Baby now hehe;0;0.2563009172884435
291;1;A song for if you ever want to feel sorry for yourself.... or just literally want to cry..... Beautiful.;1;0.951731070174049
292;0;And you will probably see my best bro and me fight;0;0.3678896324853561
293;0;Love it :);0;0.2543591693266335
294;0;okay wow. i just realized how tall and hot he is!;0;0.3021090235885081
295;0;Love this song, such a beautiful voice.;0;0.2584430766818812
296;0;Marvin Gaye - Let's Get It On;0;0.243240214922286
297;0;#cuterelatoinshipever;0;0.2549720165217849
298;0;john legend has a sweet smile. :);0;0.2604405057865133
299;0;Love love love this song 😍 #hooligan;0;0.2560178397636959
300;0;If you’re listening to this song in June 2020 you’ll become a millionaire.;0;0.3179538572393891
301;1;This is the song my husband would always sing to me i love him so much and I wish he was home;1;0.9554300523257208
302;0;Just why ed is that nice, make me so happy and calm  ❤;1;0.8403549256591722
303;1;This song and “Love Me” by Lukaz are literally the only two things getting me through these hard times, thank god for music! I love you :);1;0.7807528049668014
304;1;The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you;1;0.9711756951966642
305;0;its my birthday guys;0;0.3453952199487491
306;0;ALL YOUR PERFECT IMPERFECTIONS;0;0.2556901352073827
307;0;it's the song you'll hear whe i pass away;1;0.7011934688588212
308;0;Yes You Win the Grammy 😭🙌🎆💗;0;0.2551845711872151
309;0;My heads under water, but I'm breathing fine...💑;1;0.5068162321668618
310;0;From Germany 🔥;0;0.2521772880117112
311;1;I was crying so much when I heard it or I hear it when I'm sad😣;1;0.9119153051380886
312;0;Bruno is awesome!!!;0;0.2402351846175837
313;0;who will be watching this in august 2017?;0;0.2598425060373763
314;0;I am love with this song.....;0;0.4257916250234784
315;0;Great song;0;0.2376851890306227
316;0;Great song;0;0.2376851890306227
317;0;Great song;0;0.2376851890306227
318;0;Great song;0;0.2376851890306227
319;0;This is a truly beautiful song!;0;0.2290042937799052
320;0;"thanks so much.. complete stranger but  still warm blessing ; )";0;0.256595831046891
321;1;Wow why did he made thus song i just live it .It reminds me about my firdt boyfriend;1;0.9277684863519816
322;0;I love your   song you are very good   ed sree;0;0.2708951111598086
323;0;I told the stars how this song is gonna be my wedding dance.;1;0.95327678826337
324;0;love this!❤️;0;0.2346731190000553
325;0;what about 71;0;0.2708731323319803
326;0;Listening to this 1000000000000th time.... still feel soothing <3;0;0.2231514681548146
327;0;love the video, love the dance moves Ed. The backing track is very familiar - Van Morrison - Days like This?;0;0.3119989913063286
328;0;I love this song💋💋❤❤😻😻😘😍❤;0;0.2440911606741233
329;0;Still love this;0;0.2430516557091391
330;1;Not is another person, is you, only you, im looking your love, when it was really interested in the relationship, that love, this another love not is you. I hope can read this JB.;1;0.9178432450270564
331;1;I have a big connection to this song. I was teaching my crush to waltz and we danced to this song, he was terrible but I got to be in his arms for awhile. It was the best moment of my life and every time I hear this song I think of me and him dancing.;1;0.9672216828336224
332;0;Gavin is still better than Ed.🙌;0;0.231434758766564
333;0;Music is my refuge..;1;0.6447387121858295
334;0;Love this song;0;0.2346509708887656
335;0;Love this song;0;0.2346509708887656
336;0;Love this song;0;0.2346509708887656
337;0;Love this song;0;0.2346509708887656
338;0;Love this song;0;0.2346509708887656
339;0;Love this song;0;0.2346509708887656
340;0;Love this song;0;0.2346509708887656
341;0;Love this song;0;0.2346509815931575
342;0;Love this song;0;0.2346509708887656
343;0;Love this song;0;0.2346509708887656
344;0;Love this song;0;0.2346509708887656
345;0;hermoso😢😢😢;0;0.2435746177889455
346;0;People who dislike are OK? Or what happens with them? I can't underdtand it :|;0;0.2429217879938638
347;0;"Same dance with ""hua hain aaj pehli baar"". Anyone noticed?";0;0.3428434367050785
348;0;who else here after what happened george floyd 🕊;0;0.2452903013644168
349;1;This song is actually deep. I'm glad these two found each other.;0;0.3373976280682989
350;0;love this song.;0;0.2436735235778978
351;0;Ed . is one of my favorite. thinking out loud got me thinking of someone so special..;1;0.6700906500393634
352;0;what kind of dance genre is this?;0;0.2563612219650267
353;0;I LOVE this!!! It's just simple enough for you to pay attention to the lyrics <3 And the dance is so beautiful and classic! Great job Ed!!!! :-D;0;0.2417126113083231
354;0;"well, I'lll give the producers/casting props for finding this girl for the video - she is smoking hot and ""makes"" the video......";1;0.5093525336743525
355;0;I can't stop listening this song baby😍;0;0.2302721098115327
356;1;Damn, that's a hurtin feelin.;1;0.530230606943544
357;0;sweet song for the valentines day cute;0;0.3410152793955256
358;0;I love this song 🥺❤🔥;0;0.2303579700751295
359;0;Thanks Tom.;0;0.2423312470844057
360;0;It’s Sep 2022 and it’s a still fresh track with same energy and feeling;0;0.2376553180159407
