,author,comment,origin,origin_status,Unnamed: 0,lang,time_stamps
32,Barbara Solarczyk,1:35 ❤️🎶 I like the song and the music🎶❤️,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:35']
317,Dibya(gaming),0:36 After 70: Divorce 💀💀,Ed_Sheeran-Thinking_Out_Loud,1,,de,['0:36']
350,Allondra Marie Sablas,Iisten to 0:44-0:46 there was a voice of a child.,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:44', '0:46']"
399,Portal do Senhor Wilson,"0:27 0:32 Vivi do F.B.I vou te dar munição, o placar do julgamento do MINTO está 3 a 1, falta votar Xandão, Carmen Lucia e Cacio Nunes o placar vai ser 5 a 2, vai ficar inelegível por 8 anos, TADINHO VAI DISPUTAR A ELEIÇÃO PARA SÍNDICO DO CONDOMÍNIO DELE, só pode votar o gado que está preso dentro do condomínio. O gado de fora não vão poder votar.",Ed_Sheeran-Thinking_Out_Loud,1,,pt,"['0:27', '0:32']"
535,Iézão da Massa,1:23 TAKE ME INTO YOUR FUCKIN' ARMS,Ed_Sheeran-Thinking_Out_Loud,1,,en,['1:23']
612,Dion Paul,I make passionate love to th 1:21 1:23 is song ❤️,Ed_Sheeran-Thinking_Out_Loud,1,,en,"['1:21', '1:23']"
624,Jas Singh,0:09 you after hitting leg day,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:09']
668,사무엘 파자넬 • 12 years ago,0:45 i heard the part saying heart someone says heart too...,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:45']
703,yesha chloe,0:44 this part 😱👻,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
795,僕ちん俺っちハムスターニコニコワクワクワンダフルランドにゃんにゃん系シティボーイ侍,"0:15
1:52

when my hair's all but gone and my memory fades",Ed_Sheeran-Thinking_Out_Loud,1,,en,"['0:15', '1:52']"
905,Stephanie Cooper,It's 8:24 in the morning I thought of this song just came into my head ❤❤❤❤❤❤❤❤❤❤❤,Ed_Sheeran-Thinking_Out_Loud,1,,en,['8:24']
946,Eldriane Paulo Sales,0:44 I heard a little girl say heart😫😮,Ed_Sheeran-Thinking_Out_Loud,1,,en,['0:44']
